"hosp_id","academic"
"1","Yes"
"2","Yes"
"3","Yes"
"4","Yes"
"5","Yes"
"6","No"
"7","Yes"
"8","Yes"
"9","No"
"10","Yes"
"11","No"
"12","Yes"
"13","Yes"
"14","No"
"15","No"
"16","Yes"
"17","Yes"
"18","No"
"19","Yes"
"20","No"
"21","Yes"
"22","No"
"23","Yes"
"24","Yes"
"25","No"
"26","No"
"27","Yes"
"28","No"
"29","Yes"
"30","Yes"
"31","Yes"
"32","Yes"
"33","Yes"
"34","No"
"35","Yes"
"36","Yes"
"37","Yes"
"38","No"
"39","No"
"40","No"
"41","No"
"42","Yes"
"43","Yes"
"44","Yes"
"45","Yes"
"46","No"
"47","No"
"48","No"
"49","Yes"
"50","No"
"51","Yes"
"52","No"
"53","Yes"
"54","Yes"
"55","No"
"56","No"
"57","No"
"58","No"
"59","No"
"60","Yes"
"61","Yes"
"62","No"
"63","Yes"
"64","No"
"65","Yes"
"66","Yes"
"67","No"
"68","No"
"69","No"
"70","No"
"71","Yes"
"72","No"
"73","No"
"74","Yes"
"75","Yes"
"76","No"
"77","Yes"
"78","No"
"79","Yes"
"80","Yes"
"81","Yes"
"82","Yes"
"83","Yes"
"84","Yes"
"85","Yes"
"86","Yes"
"87","Yes"
"88","No"
"89","No"
"90","No"
"91","Yes"
"92","No"
"93","Yes"
"94","Yes"
"95","No"
"96","Yes"
"97","Yes"
"98","No"
"99","No"
"100","No"
